symbol,snapshot_time,spot_price,spot_change_pct,total_ce_oi,total_pe_oi,pcr_oi,total_ce_vol,total_pe_vol,pcr_vol,atm_ce_iv,atm_pe_iv,iv_skew,atm_ce_ltp,atm_pe_ltp,atm_strike,dte,expiry_date,signal,score,confidence,ml_bullish_probability,regime,top_pick_type,top_pick_strike,top_pick_ltp,net_gex,zero_gamma_level,iv_rank,max_pain_strike,oi_concentration_ratio,net_delta_flow,oi_velocity_score,oi_velocity_conf,uoa_detected,uoa_strike,uoa_side,outcome_1h,outcome_eod,outcome_next,pick_ltp_1h,pick_ltp_eod,pick_pnl_pct_1h,pick_pnl_pct_eod,pick_pnl_pct_next,trade_result,data_source
ADANIENT,2026-01-01 15:30:00,2260.0,0.0,6080811.0,5243421.0,0.862289750495452,36487.0,10740.0,0.29435141283196753,24.133914348226035,23.16862285124005,-0.9652914969859872,63.3,50.55,2260,26,2026-01-27,BEARISH,81,0.4671204444870731,0.5,NEUTRAL,PE,2280.0,60.55,191526499.37,2300.0,50.0,2300.0,0.4671,12873.5,-0.0801,0.95,1,2280.0,PE,,2260.0,2279.800048828125,,60.55,,0,185.88,WIN,EOD_HISTORICAL
ADANIENT,2026-01-02 15:30:00,2279.800048828125,0.8761,6191124.0,5234151.0,0.8454282291874625,22359.0,8518.0,0.38096515944362447,24.656649294365977,22.64157106618424,-2.0150782281817357,63.65,48.95,2280,25,2026-01-27,BULLISH,85,0.4551367459465576,0.5,NEUTRAL,CE,2300.0,53.65,232447816.43,2300.0,0.0,2300.0,0.4551,6920.5,-0.1253,0.95,1,2300.0,CE,,2279.800048828125,2279.5,,53.65,,0,69.52,WIN,EOD_HISTORICAL
ADANIENT,2026-01-05 15:30:00,2279.5,-0.0132,6559143.0,5387724.0,0.8214066990154049,24068.0,8009.0,0.332765497756357,24.522191303644878,24.731396055714615,0.20920475206973776,58.95,51.0,2280,22,2026-01-27,BULLISH,65,0.4527539154884972,0.5,NEUTRAL,CE,2300.0,48.95,257544172.7,2300.0,100.0,2300.0,0.4528,8029.5,0.6806,0.95,1,2300.0,CE,,2279.5,2259.10009765625,,48.95,,0,61.59,WIN,EOD_HISTORICAL
ADANIENT,2026-01-06 15:30:00,2259.10009765625,-0.8949,6716424.0,5601861.0,0.8340541037909459,15631.0,11209.0,0.717100633356791,25.97603688151395,24.414244005724463,-1.561792875789486,59.9,49.0,2260,21,2026-01-27,BULLISH,65,0.45710687573717435,0.5,NEUTRAL,CE,2260.0,59.9,220494957.42,2300.0,100.0,2300.0,0.4571,2211.0,0.2894,0.95,1,2260.0,CE,,2259.10009765625,2274.10009765625,,59.9,,0,142.07,WIN,EOD_HISTORICAL
ADANIENT,2026-01-07 15:30:00,2274.10009765625,0.664,6968877.0,5637396.0,0.8089389438212211,18638.0,7155.0,0.3838931215795686,23.595506952227236,24.700546363711904,1.1050394114846682,53.7,48.85,2275,20,2026-01-27,BULLISH,75,0.455695977920722,0.5,NEUTRAL,CE,2300.0,44.1,294055101.17,2300.0,50.0,2300.0,0.4557,5741.5,0.5843,0.95,1,2300.0,CE,,2274.10009765625,2214.0,,44.1,,0,-43.31,LOSS,EOD_HISTORICAL
ADANIENT,2026-01-08 15:30:00,2214.0,-2.6428,7178379.0,6017775.0,0.8383194868925143,27775.0,18392.0,0.6621782178217822,25.39486050933463,28.994581243970668,3.599720734636037,54.4,55.15,2215,19,2026-01-27,BEARISH,92,0.4507094814711585,0.5,NEUTRAL,PE,2200.0,47.2,147739828.41,2300.0,100.0,2300.0,0.4507,4691.5,-0.0568,0.95,1,2200.0,PE,,2214.0,2153.699951171875,,47.2,,0,134.0,WIN,EOD_HISTORICAL
ADANIENT,2026-01-09 15:30:00,2153.699951171875,-2.7236,8161926.0,6547710.0,0.8022260922238207,45481.0,40718.0,0.8952749499791122,26.033603093990727,30.472314783307024,4.438711689316296,52.45,55.3,2155,18,2026-01-27,BULLISH,65,0.43914309710271693,0.5,NEUTRAL,CE,2180.0,43.3,80206830.61,2300.0,100.0,2280.0,0.4391,2381.5,0.0107,0.95,1,2180.0,CE,,2153.699951171875,2171.60009765625,,43.3,,0,322.86,WIN,EOD_HISTORICAL
ADANIENT,2026-01-12 15:30:00,2171.60009765625,0.8311,8074788.0,6349332.0,0.7863156283483851,40708.0,21632.0,0.5313943205266778,28.104050540743398,31.612653687945226,3.5086031472018284,53.05,51.8,2170,15,2026-01-27,BEARISH,93,0.42672269186005574,0.5,NEUTRAL,PE,2200.0,62.5,144568358.81,2300.0,100.0,2280.0,0.4267,9538.0,0.9193,0.95,1,2200.0,PE,,2171.60009765625,2158.5,,62.5,,0,80.56,WIN,EOD_HISTORICAL
ADANIENT,2026-01-13 15:30:00,2158.5,-0.6032,8363703.0,6276408.0,0.7504341079543355,21548.0,9849.0,0.45707258214219415,27.94799123714829,31.677561350823495,3.729570113675205,49.05,51.45,2160,14,2026-01-27,BEARISH,91,0.427253289952101,0.5,NEUTRAL,PE,2160.0,51.45,158622283.45,2300.0,87.5,2280.0,0.4273,5849.5,0.9483,0.95,1,2160.0,PE,,2158.5,2153.300048828125,,51.45,,0,67.15,WIN,EOD_HISTORICAL
ADANIENT,2026-01-14 15:30:00,2153.300048828125,-0.2409,8916504.0,6366018.0,0.7139589686720266,16532.0,8576.0,0.5187515122187273,25.890566315462987,30.32814836420824,4.437582048745252,43.6,47.5,2155,13,2026-01-27,BULLISH,69,0.4261820465426751,0.5,NEUTRAL,CE,2160.0,43.6,187266046.66,2260.0,66.7,2280.0,0.4262,3978.0,0.5798,0.95,1,2160.0,CE,,2153.300048828125,2153.300048828125,,43.6,,0,0.0,,EOD_HISTORICAL
