strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,totalBuyQuantity,totalSellQuantity,buyPrice1,buyQuantity1,sellPrice1,sellQuantity1,underlyingValue,optionType,pchange,type,expiry
25250,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE25250.00,4438,-2426,-35.34382284382284,73703,31.65,1.9,-0.8,101400,11570,1.7,2145,1.85,325,23002.15,,-29.62962962962963,CE,24-Mar-2026
25250,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE25250.00,183,0,0.0,12,0.0,2076.3,655.95,5070,2210,2104.05,780,2392.95,1690,23002.15,,46.18227901573556,PE,24-Mar-2026
25300,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE25300.00,16848,-10553,-38.51319294916244,187847,31.94,1.75,-0.6,232895,31655,1.65,1755,1.75,2015,23002.15,,-25.53191489361702,CE,24-Mar-2026
25300,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE25300.00,1057,-69,-6.127886323268206,162,0.0,2206.15,644.45,4290,2730,2190.0,65,2212.3,65,23002.15,,41.26592815521547,PE,24-Mar-2026
25350,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE25350.00,6661,-5238,-44.020505924867635,67262,32.43,1.7,-0.45,109720,12090,1.55,65,1.7,1755,23002.15,,-20.930232558139537,CE,24-Mar-2026
25350,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE25350.00,56,-3,-5.084745762711864,9,0.0,2250.0,700.0,5005,4940,2201.35,780,2307.0,780,23002.15,,45.16129032258065,PE,24-Mar-2026
25400,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE25400.00,12932,-18667,-59.074654261210796,179879,32.68,1.55,-0.4,264355,19435,1.55,1820,1.65,1755,23002.15,,-20.512820512820515,CE,24-Mar-2026
25400,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE25400.00,614,-109,-15.076071922544951,171,0.0,2316.3,672.3,3705,5590,2273.65,780,2348.65,845,23002.15,,40.894160583941606,PE,24-Mar-2026
25450,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE25450.00,4021,-3599,-47.23097112860892,53645,33.26,1.55,-0.3,248755,8190,1.55,325,1.6,1755,23002.15,,-16.216216216216218,CE,24-Mar-2026
25450,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE25450.00,361,-77,-17.579908675799086,89,71.37,2527.6,870.0,4225,4615,2301.0,65,2367.95,130,23002.15,,52.48552123552123,PE,24-Mar-2026
25500,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE25500.00,38304,-9555,-19.96489688459851,338666,33.72,1.5,-0.3,358215,593840,1.45,49270,1.5,1235,23002.15,,-16.666666666666668,CE,24-Mar-2026
25500,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE25500.00,2869,-194,-6.3336598106431605,355,0.0,2410.0,663.3,5135,5590,2388.8,65,2408.35,65,23002.15,,37.97446613614244,PE,24-Mar-2026
25550,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE25550.00,3156,-2926,-48.109174613613945,56593,34.41,1.55,-0.15,99775,14495,1.5,650,1.55,1235,23002.15,,-8.823529411764707,CE,24-Mar-2026
25550,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026PE25550.00,234,-5,-2.092050209205021,5,0.0,2400.0,680.6,5005,4940,2407.05,780,2507.5,780,23002.15,,39.58357566592998,PE,24-Mar-2026
25600,24-03-2026,NIFTY,OPTIDXNIFTY24-03-2026CE25600.00,5974,-5131,-46.20441242683476,141443,34.86,1.5,-0.1,252395,45500,1.45,1430,1.6,975,23002.15,,-6.25,CE,24-Mar-2026
