strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,totalBuyQuantity,totalSellQuantity,buyPrice1,buyQuantity1,sellPrice1,sellQuantity1,underlyingValue,optionType,pchange,type,expiry
60500,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE60500.00,11250.0,-1423.0,-11.228596228201688,14197,30.33,11.1,-4.1,116850,3270,10.5,30,13.2,600,53451,,-26.973684210526315,CE,30-Mar-2026
60500,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE60500.00,6342.0,-114.0,-1.7657992565055762,227,0.0,6698.7,1611.8,3720,3000,6676.2,30,6767.55,30,53451,,31.685309323949753,PE,30-Mar-2026
60600,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE60600.00,2157.0,-67.0,-3.012589928057554,658,30.66,11.0,-4.25,8970,2340,9.8,4200,12.5,30,53451,,-27.868852459016395,CE,30-Mar-2026
60600,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE60600.00,1107.0,-59.0,-5.060034305317324,213,0.0,6883.75,1763.75,2640,3060,6646.95,150,7234.6,150,53451,,34.4482421875,PE,30-Mar-2026
60700,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE60700.00,5499.0,836.0,17.928372292515547,4482,30.64,10.0,-4.0,7200,2640,9.65,3000,14.75,270,53451,,-28.571428571428573,CE,30-Mar-2026
60700,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE60700.00,2774.0,-11.0,-0.39497307001795334,17,0.0,6951.25,1726.25,2820,2640,6763.6,30,6982.65,30,53451,,33.038277511961724,PE,30-Mar-2026
60800,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE60800.00,3197.0,-92.0,-2.797202797202797,879,31.47,11.3,-2.85,15210,5520,10.25,1710,13.8,30,53451,,-20.141342756183747,CE,30-Mar-2026
60800,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE60800.00,2633.0,-50.0,-1.8635855385762206,201,0.0,7045.9,1745.9,2760,3180,6291.85,210,7062.05,30,53451,,32.94150943396227,PE,30-Mar-2026
60900,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE60900.00,3121.0,-217.0,-6.500898741761534,630,31.81,11.25,-3.1,8670,2400,9.65,3600,12.0,210,53451,,-21.60278745644599,CE,30-Mar-2026
60900,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE60900.00,1692.0,-11.0,-0.6459189665296535,24,0.0,7200.0,1739.4,3420,3060,6982.55,150,7159.55,30,53451,,31.853642456872873,PE,30-Mar-2026
61000,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE61000.00,36324.0,-207.0,-0.5666420300566642,37878,31.77,10.2,-3.7,154500,19200,10.25,540,10.8,120,53451,,-26.618705035971225,CE,30-Mar-2026
61000,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE61000.00,16245.0,-175.0,-1.0657734470158344,526,0.0,7230.2,1641.5,4590,3150,7230.0,60,7261.0,150,53451,,29.371768031921555,PE,30-Mar-2026
61100,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE61100.00,3534.0,173.0,5.147277595953585,961,31.99,9.9,-3.65,18960,12720,9.75,180,12.35,90,53451,,-26.937269372693727,CE,30-Mar-2026
61100,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE61100.00,2106.0,-1.0,-0.04746084480303749,13,0.0,7196.15,1707.7,3300,2460,7194.45,150,7630.85,150,53451,,31.114431214641655,PE,30-Mar-2026
61200,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE61200.00,6847.0,-403.0,-5.558620689655172,1807,32.2,9.55,-3.75,7260,16080,9.0,240,11.0,90,53451,,-28.195488721804512,CE,30-Mar-2026
61200,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE61200.00,1921.0,-8.0,-0.41472265422498705,17,0.0,7528.25,1797.0,2610,2400,6933.8,600,7466.65,30,53451,,31.354416575790623,PE,30-Mar-2026
61300,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE61300.00,6257.0,-207.0,-3.202351485148515,1996,32.65,9.8,-2.95,7650,9240,9.1,210,11.05,30,53451,,-23.137254901960784,CE,30-Mar-2026
61300,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026PE61300.00,1217.0,-4.0,-0.3276003276003276,5,0.0,7465.0,1660.75,3720,2550,6754.4,210,7882.85,300,53451,,28.61265452039454,PE,30-Mar-2026
61400,30-03-2026,BANKNIFTY,OPTIDXBANKNIFTY30-03-2026CE61400.00,4832.0,78.0,1.6407236011779553,1378,32.99,9.8,-2.4,78420,32310,9.3,360,10.95,90,53451,,-19.672131147540984,CE,30-Mar-2026
