Date,Close,High,Low,Open,Volume
2023-02-13,18428.94921875,18540.099609375,18342.150390625,18504.05078125,694900
2023-02-14,18595.69921875,18619.5,18425.599609375,18483.849609375,821900
2023-02-15,18636.94921875,18663.0,18494.94921875,18595.099609375,695700
2023-02-16,18587.80078125,18738.849609375,18541.849609375,18714.05078125,600600
2023-02-17,18434.099609375,18555.80078125,18317.400390625,18539.150390625,627000
2023-02-20,18252.55078125,18503.80078125,18208.55078125,18473.599609375,645400
2023-02-21,18262.44921875,18378.349609375,18215.400390625,18295.69921875,780800
2023-02-22,17941.25,18204.55078125,17905.19921875,18186.05078125,800700
2023-02-23,17912.099609375,17984.650390625,17763.75,17926.5,826100
2023-02-24,17864.099609375,18036.75,17827.94921875,18022.25,650800
2023-02-27,18001.400390625,18037.0,17787.099609375,17819.55078125,666400
2023-02-28,17989.650390625,18059.849609375,17909.44921875,17969.69921875,1000100
2023-03-01,18100.30078125,18136.099609375,18037.94921875,18083.5,782100
2023-03-02,17946.94921875,18144.150390625,17920.400390625,18070.19921875,750100
2023-03-03,18264.5,18322.80078125,18024.25,18070.349609375,931600
2023-03-06,18369.55078125,18466.19921875,18320.19921875,18336.349609375,1025900
2023-03-08,18393.19921875,18410.900390625,18272.30078125,18316.0,1160700
2023-03-09,18255.5,18445.69921875,18237.19921875,18374.94921875,1005100
2023-03-10,17927.75,18088.0,17863.19921875,18077.30078125,956700
2023-03-13,17635.0,18079.0,17584.0,17907.55078125,978700
2023-03-14,17545.75,17717.650390625,17456.44921875,17617.5,1157100
2023-03-15,17410.75,17746.25,17361.849609375,17693.44921875,1082900
2023-03-16,17463.900390625,17564.44921875,17261.30078125,17429.94921875,1093400
2023-03-17,17671.400390625,17728.849609375,17386.19921875,17577.05078125,1207000
2023-03-20,17549.75,17665.80078125,17379.94921875,17665.80078125,1019400
2023-03-21,17806.80078125,17830.349609375,17593.69921875,17660.30078125,1176000
2023-03-22,17863.44921875,17895.5,17783.25,17869.400390625,0
2023-03-23,17746.55078125,17967.05078125,17716.25,17790.69921875,969300
2023-03-24,17623.400390625,17788.44921875,17579.94921875,17688.650390625,959900
2023-03-27,17616.05078125,17727.94921875,17555.5,17659.80078125,969100
2023-03-28,17664.44921875,17698.25,17589.150390625,17668.44921875,1052300
2023-03-29,17793.849609375,17856.400390625,17693.94921875,17702.94921875,1331600
2023-03-31,18058.69921875,18090.25,17903.69921875,17924.150390625,1203600
2023-04-03,18164.75,18185.150390625,18041.75,18096.650390625,1107600
2023-04-05,18372.150390625,18390.400390625,18197.599609375,18221.25,1107400
2023-04-06,18462.150390625,18510.55078125,18303.80078125,18345.650390625,1822700
2023-04-10,18390.69921875,18493.349609375,18348.19921875,18487.400390625,1404300
