Date,Close,High,Low,Open,Volume
2020-01-01,459.3226013183594,460.08553875852823,455.22685512092465,457.27475272775126,918373
2020-01-02,460.6076354980469,461.7721141107899,458.15824539166204,459.80455356046286,1075642
2020-01-03,469.84307861328125,472.61372110610455,460.0454691541394,460.9690329904911,3269446
2020-01-06,467.39373779296875,475.58518423794857,465.345888435783,469.80298386406656,3589985
2020-01-07,469.2004699707031,472.0112558413021,465.0244354454272,467.3935361967466,3179728
2020-01-08,470.4051818847656,476.2275251517986,464.1812977027649,468.1967068524428,3593096
2020-01-09,466.02838134765625,472.33260319326024,465.18515521998904,470.6059576329971,2313648
2020-01-10,466.0685119628906,473.65764492169785,463.69945982042975,467.3936165647959,2049636
2020-01-13,471.0074768066406,473.8182631132446,466.59052689626293,468.9596280150738,4096054
2020-01-14,477.2716369628906,479.7612206465264,471.52962990220044,471.5697742001449,3395378
2020-01-15,478.43609619140625,480.4839454654368,475.1836239307418,479.4399486802678,2348102
2020-01-16,476.42828369140625,480.48383702788607,471.2082519274043,479.43984047833044,2107442
2020-01-17,480.8854064941406,483.45527824152697,469.80288666327783,469.80288666327783,4555694
2020-01-20,473.21612548828125,496.30473576878717,469.08023308371156,496.30473576878717,10272118
2020-01-21,469.03997802734375,476.4283413757338,467.6747289820603,473.25615803951837,2640668
2020-01-22,474.3403625488281,477.83374934511085,466.9921432675327,469.96355621796704,4402650
2020-01-23,481.0058288574219,481.808910615589,471.40899204408106,473.8985258879108,6089397
2020-01-24,489.6679382324219,490.71543260386096,479.8375042949084,482.65770793056276,3551260
2020-01-27,486.96868896484375,489.909778855486,484.87369971429064,489.66805689280073,2450421
2020-01-28,484.6319274902344,489.3859561982044,477.5008106575965,489.34567740534425,5330709
2020-01-29,490.5945739746094,492.729890802352,485.2362162811865,487.4923694773883,4281329
2020-01-30,489.7887268066406,494.6233611389149,486.4045221184036,493.1327018919745,3334901
2020-01-31,476.53387451171875,490.63489321258436,475.0834446724124,489.78879274617225,3590768
2020-02-03,466.62274169921875,478.3467685724156,465.3335256293915,476.53378081022316,4024193
2020-02-04,472.5855407714844,474.80141500357576,469.3624509793515,469.7653372033681,3246094
2020-02-05,479.9180908203125,482.2548507887124,472.1826943394912,474.92234056585994,3006324
2020-02-06,483.2218322753906,493.93859789109644,481.85200903568625,482.6175028326201,4704968
2020-02-07,489.6679382324219,490.87659693341664,482.77859347284164,484.7930246411662,2865379
2020-02-10,487.4118347167969,492.77019266107345,484.7930739317167,490.6349249138186,2286213
2020-02-11,492.04498291015625,494.5428579174784,488.05639931163626,488.2981212187241,2458748
2020-02-12,494.82489013671875,499.9818539918942,491.7629643641562,493.93856002744747,4873027
2020-02-13,493.495361328125,494.7040200386125,486.72685287721566,493.13275387888905,2090363
2020-02-14,500.9085693359375,502.19778585688874,493.3342870290897,493.495451389323,3650630
2020-02-17,494.3012390136719,502.39924426150645,493.4148595957128,501.99635793892304,2190578
2020-02-18,489.144287109375,496.19479793759814,487.61334855209435,494.30125184448815,5237465
2020-02-19,488.0967102050781,498.1688668333298,486.68660827712284,495.10694105443173,3799862
2020-02-20,489.9499816894531,493.8982867961793,487.61327083850415,492.32702051164733,4820313
2020-02-24,479.55548095703125,490.7154094303543,476.6143919179878,489.90963700107625,4070143
2020-02-25,469.3222961425781,479.9987838987133,463.31927998322516,479.8376195304532,5525575
2020-02-26,470.24896240234375,474.6404337742598,463.722222727711,464.8503242623107,5460070
2020-02-27,461.74786376953125,469.2818652143,457.67872298750933,469.04009415005675,4078174
2020-02-28,430.5645751953125,454.45575279361356,428.0264209778778,451.2326623482688,7894806
2020-03-02,442.9332580566406,455.9464575073626,433.3848221604909,435.9633046076544,8175982
2020-03-03,455.3017883300781,458.2831567241992,447.2037837044933,448.00955628774466,4682284
2020-03-04,453.7304382324219,463.64147852195146,452.03833579201006,458.48451526854495,5175180
2020-03-05,464.4473876953125,468.87913739018967,453.77089979401745,457.678877580043,6061347
2020-03-06,456.22845458984375,462.4731922211429,450.8700471437077,459.290380624583,3288548
2020-03-09,435.479736328125,449.6210331807859,432.2566464845351,447.2037157980935,3699776
2020-03-11,432.5386047363281,437.25240267836574,414.16700426643484,424.4406021349116,4850031
2020-03-12,397.52789306640625,425.28674270207665,391.88748520780985,419.8074991898166,5321388
2020-03-13,397.165283203125,416.78584962604043,319.0456495836609,370.6553713445696,6859998
2020-03-16,363.1616516113281,386.6096101411893,360.05942277308225,377.9072775517793,5281571
2020-03-17,363.12139892578125,385.64275179401443,357.2392690790585,362.5976516802885,5148153
2020-03-18,349.9067687988281,374.5231131062118,345.7167412361873,366.6265510730381,4936397
2020-03-19,333.1465759277344,350.18865559752044,302.3660634318306,337.5380203227124,9270044
2020-03-20,358.4881896972656,372.22662593531,331.85741771264117,333.1869374543291,11916337
2020-03-23,336.1280517578125,357.76305205341276,322.67166342795923,334.39564550037454,9525470
2020-03-24,356.1918029785156,369.7287987422353,331.85748282257333,332.7841164855402,9915953
2020-03-25,368.7215270996094,377.1015567765995,336.61148577654797,348.09374471686107,11976272
2020-03-26,360.74444580078125,376.0944058220203,355.42634108964376,371.54179500810204,9504717
2020-03-27,347.0059814453125,368.60070288594267,338.82739409216816,362.79913005944996,9150873
2020-03-30,337.61871337890625,353.4521397684872,330.36676010823766,330.36676010823766,6325701
2020-03-31,351.63909912109375,362.1141411754219,342.6950198335841,349.0606419849321,6381806
2020-04-01,333.2271728515625,349.06062050055687,328.9163100974828,348.89945618124324,8136746
2020-04-03,326.9825439453125,345.3541758167896,321.7450215215098,337.53817097902254,8166356
2020-04-07,363.5242614746094,369.0035292742285,342.4533153427422,342.4533153427422,5972948
2020-04-08,373.1532287597656,384.1922966370966,361.79183222831495,363.4033771380179,7991061
2020-04-09,377.9476013183594,387.5765930397408,372.26691472839974,387.3348711130208,5069225
2020-04-13,369.2453308105469,379.51893248612674,365.82079691868694,378.7131598056891,2236731
2020-04-15,385.76361083984375,388.38237164450067,372.83097116370584,378.7131009811521,6333188
2020-04-16,370.45391845703125,383.5477219914016,367.996322091286,381.1304044158255,10484842
2020-04-17,366.82794189453125,382.7419492584346,365.5387009368787,378.7130866346616,4706460
2020-04-20,378.7131652832031,381.6139518927803,365.41791586368646,369.0438929781001,4800719
2020-04-21,367.1905212402344,374.64391652328976,360.8652024873804,369.04378806912064,3405204
2020-04-22,372.5891418457031,378.2698518521812,362.59756929862965,365.01488642728714,3768051
2020-04-23,384.9175109863281,387.37510713413695,372.5891776900154,374.6841909877768,3052968
2020-04-24,377.18212890625,400.3883680999828,374.8050900896741,386.77081716372203,6738184
2020-04-27,389.26873779296875,391.36375141619914,376.49723749908486,381.21101200379627,2914569
2020-04-28,379.5994873046875,394.02281232661386,378.26996739586434,394.02281232661386,4262237
2020-04-29,396.23870849609375,403.69210565641686,378.8743173802981,382.58085197162586,3849090
2020-04-30,437.9776611328125,455.6643784986014,403.69204885552483,408.123797894857,8035267
2020-05-04,414.3684387207031,425.04492255745436,409.49352574831266,425.04492255745436,7032527
2020-05-05,419.3240051269531,426.97884344713054,415.49658596686436,423.83631120140495,4592828
2020-05-06,418.2764892578125,424.4003898272812,407.8820534122073,412.7166884605216,6921533
2020-05-07,412.3541259765625,436.5675826487188,408.96987123748823,427.0594758526197,19998641
2020-05-08,417.7125244140625,421.0161723141059,404.8201385663694,419.68662788724765,10120968
2020-05-11,425.0853576660156,431.00781623531066,419.968720938544,423.83641987699485,4425540
2020-05-12,424.9644470214844,435.11716110850205,419.0017106970761,423.39318077027997,6439945
2020-05-13,426.05230712890625,434.9963642588603,420.2507339616969,434.9963642588603,3502017
2020-05-14,416.94696044921875,425.08524245100386,414.44903636775376,418.5182265490933,3741672
2020-05-15,411.951171875,417.3498572153684,407.1165370950489,417.3498572153684,4895121
2020-05-18,411.54833984375,417.91396281454297,408.92957899305554,414.7311513291465,5159655
2020-05-19,417.591552734375,419.40454066231007,407.8820050008563,412.5554751567776,3966934
2020-05-20,424.4406433105469,425.9716306567461,414.97281690542314,415.01309569233405,3138708
2020-05-21,430.9673767089844,433.1026933810887,421.7413214687592,426.89823565842363,4523685
2020-05-22,427.38189697265625,431.08843204327144,421.4191588011794,430.00065847572284,6410434
2020-05-26,422.22479248046875,432.2969487896402,419.2031455877173,427.05942750887107,4055691
2020-05-27,427.82489013671875,430.2019286890467,415.7785822302001,426.81767457899053,4828798
2020-05-28,437.2524719238281,439.95179015829666,421.4190224410057,427.8652025165852,4492767
2020-05-29,443.3763732910156,447.2037931422329,432.4581643936344,435.1172041383888,7853755
2020-06-01,451.03118896484375,462.0300040445646,447.606655596196,448.8153144321893,4503261
2020-06-02,451.39385986328125,457.47743368964046,443.17496878785073,450.66864478762585,2930058
2020-06-03,453.4888610839844,458.0012176660932,448.815389307894,454.45579815018357,4202273
2020-06-04,466.5020446777344,470.32946442986804,450.4268718826818,455.26150735906117,5315353
2020-06-05,464.0847473144531,473.10941043599934,461.3048219573957,471.37697964205495,3995824
2020-06-08,465.93792724609375,470.1682326815317,460.13635566997493,466.6631421357767,3771973
2020-06-09,461.58685302734375,470.2489092052611,459.29042059654535,462.6343968397395,3812291
2020-06-10,466.30059814453125,473.39138695560507,462.1911285111969,463.3192297863369,6491708
2020-06-11,465.7769775390625,471.29655096832045,462.59416500401176,467.34824440375553,4975680
2020-06-12,459.89471435546875,466.3006164020305,447.36496018240103,447.36496018240103,6624056
2020-06-15,466.5020446777344,468.15386862940625,454.21401284193666,463.15806880105646,3787100
2020-06-16,468.0732116699219,478.2259243426769,466.05878064910183,471.37685887188877,4728405
2020-06-17,464.0040283203125,468.83866283964034,461.70759659581,467.34800353502584,3572351
2020-06-18,466.5020446777344,470.4100220156256,459.3709278418016,460.25730718741096,1918229
2020-06-19,458.96807861328125,465.73658849894446,457.0342537748484,462.5134979210971,6182627
2020-06-22,458.96807861328125,464.6488151011047,455.58387285090896,463.3192705655589,2666273
2020-06-23,467.5494689941406,470.1682294839829,454.2542234303262,459.0485793939731,4521803
2020-06-24,450.9103088378906,467.1869245279906,446.72033083369746,463.31922604233677,5339893
2020-06-25,443.2152099609375,451.79670784571607,441.56338596267943,449.2987832708649,6353371
2020-06-26,453.16656494140625,462.4329505576866,439.14610094545884,443.2152430539073,7034875
2020-06-29,446.1562805175781,455.98671567841916,443.4166341155479,452.84418299258766,3857610
2020-06-30,448.6943359375,451.8771467157782,445.79357500413767,449.62099385866935,3110587
2020-07-01,444.58502197265625,450.9103170670991,443.98069253635447,449.5808218155085,3004648
2020-07-02,458.64569091796875,461.22417260834857,445.5116097462673,447.2037122284662,5243652
2020-07-03,466.6631774902344,467.7912295168769,459.7737830576498,460.9018842647443,3735570
2020-07-06,466.30059814453125,474.60004581591727,465.1322180768052,466.6632056387159,3288417
2020-07-07,477.05767822265625,478.99155221684117,463.44015021350407,468.9596730853666,7255475
2020-07-08,463.23870849609375,479.2332756618901,461.70772081422956,479.2332756618901,4625011
2020-07-09,473.9955749511719,476.6948925949098,463.31909153748205,463.8428632261788,4807930
2020-07-10,469.1611022949219,474.23745990315507,467.2272283582344,473.99573795618346,2376881
2020-07-13,485.5584411621094,487.4923146444474,470.04732205978604,471.3768662264491,5443990
2020-07-14,476.49365234375,494.54297996073353,473.8748911464019,487.17014030216905,6212718
2020-07-15,495.7113342285156,505.98493531109597,477.42028560226134,478.34694380346184,9928037
2020-07-16,505.8236999511719,525.5248479215611,489.22480569425,507.63668812303985,20771204
2020-07-17,502.11724853515625,519.4413605796943,494.26096516612154,507.2338852110103,26830157
2020-07-20,522.6240844726562,525.3637309627426,505.09853056400647,510.05405168622093,10543170
2020-07-21,525.645751953125,533.7034781986267,518.3535195370375,525.3637512067156,8801061
