Datetime,Close,High,Low,Open,Volume
2025-12-23 03:45:00+00:00,27538.19921875,27538.19921875,27483.599609375,27511.75,0
2025-12-23 03:50:00+00:00,27526.05078125,27550.400390625,27524.5,27539.349609375,0
2025-12-23 03:55:00+00:00,27526.44921875,27537.150390625,27518.650390625,27526.099609375,0
2025-12-23 04:00:00+00:00,27528.0,27530.75,27507.69921875,27525.650390625,0
2025-12-23 04:05:00+00:00,27517.650390625,27530.900390625,27511.0,27528.599609375,0
2025-12-23 04:10:00+00:00,27498.44921875,27521.30078125,27495.900390625,27513.55078125,0
2025-12-23 04:15:00+00:00,27514.0,27518.0,27492.650390625,27498.599609375,0
2025-12-23 04:20:00+00:00,27508.150390625,27518.25,27505.55078125,27513.849609375,0
2025-12-23 04:25:00+00:00,27530.80078125,27532.05078125,27507.5,27507.900390625,0
2025-12-23 04:30:00+00:00,27545.5,27550.75,27530.349609375,27531.0,0
2025-12-23 04:35:00+00:00,27552.30078125,27554.80078125,27542.94921875,27544.80078125,0
2025-12-23 04:40:00+00:00,27552.599609375,27566.69921875,27550.650390625,27551.400390625,0
2025-12-23 04:45:00+00:00,27536.150390625,27556.0,27535.05078125,27552.94921875,0
2025-12-23 04:50:00+00:00,27532.099609375,27538.69921875,27523.150390625,27536.5,0
2025-12-23 04:55:00+00:00,27539.900390625,27540.69921875,27527.349609375,27532.099609375,0
2025-12-23 05:00:00+00:00,27542.19921875,27553.30078125,27536.55078125,27540.849609375,0
2025-12-23 05:05:00+00:00,27540.599609375,27545.25,27533.05078125,27542.94921875,0
2025-12-23 05:10:00+00:00,27557.19921875,27558.650390625,27539.099609375,27542.05078125,0
2025-12-23 05:15:00+00:00,27558.900390625,27563.69921875,27554.900390625,27558.349609375,0
2025-12-23 05:20:00+00:00,27574.19921875,27583.650390625,27559.150390625,27559.650390625,0
2025-12-23 05:25:00+00:00,27561.75,27576.69921875,27559.5,27574.19921875,0
2025-12-23 05:30:00+00:00,27555.400390625,27569.900390625,27552.650390625,27562.650390625,0
2025-12-23 05:35:00+00:00,27564.94921875,27566.5,27556.400390625,27558.25,0
2025-12-23 05:40:00+00:00,27564.0,27580.44921875,27561.650390625,27565.900390625,0
2025-12-23 05:45:00+00:00,27565.099609375,27567.30078125,27552.25,27564.69921875,0
2025-12-23 05:50:00+00:00,27562.150390625,27566.44921875,27556.0,27565.55078125,0
2025-12-23 05:55:00+00:00,27558.75,27562.900390625,27549.44921875,27562.0,0
2025-12-23 06:00:00+00:00,27549.0,27558.80078125,27543.30078125,27558.80078125,0
2025-12-23 06:05:00+00:00,27539.849609375,27549.55078125,27537.650390625,27548.19921875,0
2025-12-23 06:10:00+00:00,27539.44921875,27543.94921875,27536.44921875,27539.80078125,0
2025-12-23 06:15:00+00:00,27533.75,27541.650390625,27529.5,27541.19921875,0
2025-12-23 06:20:00+00:00,27543.849609375,27553.44921875,27531.150390625,27535.400390625,0
2025-12-23 06:25:00+00:00,27542.75,27553.80078125,27538.94921875,27543.30078125,0
2025-12-23 06:30:00+00:00,27551.849609375,27552.599609375,27539.94921875,27542.0,0
2025-12-23 06:35:00+00:00,27555.400390625,27561.44921875,27546.0,27550.849609375,0
2025-12-23 06:40:00+00:00,27551.55078125,27558.25,27550.900390625,27556.25,0
2025-12-23 06:45:00+00:00,27551.05078125,27558.19921875,27544.19921875,27552.849609375,0
2025-12-23 06:50:00+00:00,27551.80078125,27557.0,27545.099609375,27552.94921875,0
2025-12-23 06:55:00+00:00,27545.5,27555.0,27543.19921875,27551.5,0
2025-12-23 07:00:00+00:00,27542.80078125,27552.75,27541.55078125,27547.80078125,0
2025-12-23 07:05:00+00:00,27545.55078125,27557.099609375,27540.150390625,27544.94921875,0
2025-12-23 07:10:00+00:00,27551.25,27557.44921875,27545.44921875,27546.599609375,0
2025-12-23 07:15:00+00:00,27569.69921875,27573.80078125,27548.75,27550.849609375,0
2025-12-23 07:20:00+00:00,27566.900390625,27576.30078125,27562.150390625,27569.5,0
2025-12-23 07:25:00+00:00,27569.599609375,27574.650390625,27566.30078125,27567.05078125,0
2025-12-23 07:30:00+00:00,27575.349609375,27588.349609375,27568.80078125,27571.05078125,0
2025-12-23 07:35:00+00:00,27578.599609375,27578.599609375,27569.349609375,27575.55078125,0
2025-12-23 07:40:00+00:00,27577.849609375,27581.80078125,27574.650390625,27578.25,0
2025-12-23 07:45:00+00:00,27582.05078125,27588.05078125,27570.80078125,27577.900390625,0
2025-12-23 07:50:00+00:00,27580.30078125,27587.55078125,27577.19921875,27581.19921875,0
2025-12-23 07:55:00+00:00,27589.150390625,27591.94921875,27577.75,27579.650390625,0
2025-12-23 08:00:00+00:00,27584.900390625,27592.400390625,27581.80078125,27589.69921875,0
2025-12-23 08:05:00+00:00,27589.05078125,27590.900390625,27582.150390625,27585.349609375,0
2025-12-23 08:10:00+00:00,27573.400390625,27590.69921875,27571.0,27590.0,0
2025-12-23 08:15:00+00:00,27578.80078125,27587.900390625,27572.650390625,27574.5,0
2025-12-23 08:20:00+00:00,27577.19921875,27583.349609375,27570.69921875,27579.150390625,0
2025-12-23 08:25:00+00:00,27586.44921875,27588.400390625,27574.099609375,27578.69921875,0
2025-12-23 08:30:00+00:00,27585.900390625,27596.599609375,27574.44921875,27586.5,0
2025-12-23 08:35:00+00:00,27580.900390625,27587.900390625,27575.30078125,27586.05078125,0
2025-12-23 08:40:00+00:00,27596.69921875,27603.400390625,27580.94921875,27584.25,0
2025-12-23 08:45:00+00:00,27611.0,27620.05078125,27594.900390625,27596.5,0
2025-12-23 08:50:00+00:00,27609.150390625,27615.099609375,27592.44921875,27610.900390625,0
2025-12-23 08:55:00+00:00,27598.94921875,27618.400390625,27597.75,27607.5,0
2025-12-23 09:00:00+00:00,27585.349609375,27604.05078125,27581.75,27599.44921875,0
2025-12-23 09:05:00+00:00,27598.05078125,27600.55078125,27576.900390625,27585.75,0
2025-12-23 09:10:00+00:00,27561.80078125,27599.400390625,27561.599609375,27599.099609375,0
2025-12-23 09:15:00+00:00,27572.75,27580.599609375,27556.900390625,27561.55078125,0
2025-12-23 09:20:00+00:00,27585.650390625,27595.69921875,27562.55078125,27572.900390625,0
2025-12-23 09:25:00+00:00,27585.30078125,27588.75,27573.55078125,27586.099609375,0
2025-12-23 09:30:00+00:00,27586.849609375,27599.849609375,27559.55078125,27584.25,0
2025-12-23 09:35:00+00:00,27584.05078125,27595.80078125,27571.05078125,27587.849609375,0
2025-12-23 09:40:00+00:00,27599.599609375,27601.44921875,27575.75,27584.349609375,0
2025-12-23 09:45:00+00:00,27581.25,27599.69921875,27574.25,27597.94921875,0
2025-12-23 09:50:00+00:00,27578.25,27594.400390625,27576.900390625,27582.599609375,0
2025-12-23 09:55:00+00:00,27578.599609375,27584.75,27572.30078125,27578.349609375,0
2025-12-24 03:45:00+00:00,27631.900390625,27636.80078125,27565.5,27595.19921875,0
2025-12-24 03:50:00+00:00,27647.650390625,27657.0,27628.150390625,27632.849609375,0
2025-12-24 03:55:00+00:00,27666.05078125,27673.349609375,27643.69921875,27649.349609375,0
2025-12-24 04:00:00+00:00,27690.650390625,27695.55078125,27666.25,27667.349609375,0
2025-12-24 04:05:00+00:00,27686.44921875,27699.80078125,27681.55078125,27689.94921875,0
2025-12-24 04:10:00+00:00,27694.150390625,27699.0,27674.599609375,27682.900390625,0
2025-12-24 04:15:00+00:00,27691.30078125,27707.650390625,27687.94921875,27697.69921875,0
2025-12-24 04:20:00+00:00,27706.599609375,27715.25,27688.55078125,27691.75,0
2025-12-24 04:25:00+00:00,27712.44921875,27721.400390625,27692.30078125,27706.94921875,0
2025-12-24 04:30:00+00:00,27709.349609375,27716.599609375,27702.099609375,27711.900390625,0
2025-12-24 04:35:00+00:00,27700.349609375,27713.150390625,27689.900390625,27712.150390625,0
2025-12-24 04:40:00+00:00,27713.05078125,27718.650390625,27696.69921875,27699.849609375,0
2025-12-24 04:45:00+00:00,27704.94921875,27720.25,27704.69921875,27712.69921875,0
2025-12-24 04:50:00+00:00,27704.69921875,27714.0,27699.5,27706.150390625,0
2025-12-24 04:55:00+00:00,27715.05078125,27715.44921875,27699.25,27705.349609375,0
2025-12-24 05:00:00+00:00,27710.44921875,27717.849609375,27703.69921875,27713.900390625,0
2025-12-24 05:05:00+00:00,27708.150390625,27711.849609375,27697.05078125,27710.400390625,0
2025-12-24 05:10:00+00:00,27687.25,27708.05078125,27687.25,27707.349609375,0
