Datetime,Close,High,Low,Open,Volume
2023-04-06 03:45:00+00:00,17588.5,17600.55078125,17503.599609375,17533.849609375,0
2023-04-06 04:45:00+00:00,17618.25,17619.55078125,17577.599609375,17588.80078125,0
2023-04-06 05:45:00+00:00,17602.30078125,17621.349609375,17580.80078125,17617.5,0
2023-04-06 06:45:00+00:00,17618.44921875,17637.69921875,17597.650390625,17602.5,0
2023-04-06 07:45:00+00:00,17575.599609375,17621.349609375,17552.0,17618.349609375,0
2023-04-06 08:45:00+00:00,17591.349609375,17613.0,17568.69921875,17576.0,0
2023-04-06 09:45:00+00:00,17602.0,17608.349609375,17590.650390625,17591.900390625,0
2023-04-10 03:45:00+00:00,17630.0,17660.44921875,17608.900390625,17634.900390625,0
2023-04-10 04:45:00+00:00,17640.0,17641.80078125,17606.19921875,17630.5,0
2023-04-10 05:45:00+00:00,17672.099609375,17678.30078125,17626.80078125,17639.05078125,0
2023-04-10 06:45:00+00:00,17667.5,17693.30078125,17666.94921875,17672.0,0
2023-04-10 07:45:00+00:00,17626.5,17674.150390625,17622.94921875,17667.80078125,0
2023-04-10 08:45:00+00:00,17621.30078125,17637.69921875,17598.25,17626.75,0
2023-04-10 09:45:00+00:00,17613.05078125,17627.849609375,17608.650390625,17621.349609375,0
2023-04-11 03:45:00+00:00,17741.55078125,17748.599609375,17669.0,17704.80078125,0
2023-04-11 04:45:00+00:00,17704.25,17745.30078125,17701.75,17743.400390625,0
2023-04-11 05:45:00+00:00,17675.650390625,17714.849609375,17668.349609375,17705.0,0
2023-04-11 06:45:00+00:00,17667.599609375,17688.599609375,17655.30078125,17675.25,0
2023-04-11 07:45:00+00:00,17713.650390625,17720.69921875,17665.44921875,17668.349609375,0
2023-04-11 08:45:00+00:00,17728.150390625,17729.849609375,17700.44921875,17713.650390625,0
2023-04-11 09:45:00+00:00,17722.25,17733.94921875,17713.05078125,17727.900390625,0
2023-04-12 03:45:00+00:00,17751.55078125,17779.400390625,17717.80078125,17759.55078125,0
