Datetime,Close,High,Low,Open,Volume
2025-12-23 03:45:00+00:00,11544.0,11573.0,11543.0,11548.0,0
2025-12-23 03:50:00+00:00,11542.0,11545.0,11530.0,11544.0,1344
2025-12-23 03:55:00+00:00,11560.0,11568.0,11533.0,11538.0,2043
2025-12-23 04:00:00+00:00,11592.0,11592.0,11560.0,11564.0,2711
2025-12-23 04:05:00+00:00,11614.0,11618.0,11596.0,11596.0,3501
2025-12-23 04:10:00+00:00,11604.0,11615.0,11596.0,11610.0,2582
2025-12-23 04:15:00+00:00,11620.0,11629.0,11593.0,11600.0,1926
2025-12-23 04:20:00+00:00,11616.0,11630.0,11611.0,11620.0,1308
2025-12-23 04:25:00+00:00,11620.0,11627.0,11610.0,11610.0,1002
2025-12-23 04:30:00+00:00,11641.0,11641.0,11616.0,11620.0,2000
2025-12-23 04:35:00+00:00,11658.0,11662.0,11632.0,11632.0,3625
2025-12-23 04:40:00+00:00,11675.0,11692.0,11659.0,11659.0,6667
2025-12-23 04:45:00+00:00,11704.0,11712.0,11664.0,11679.0,9136
2025-12-23 04:50:00+00:00,11721.0,11730.0,11702.0,11702.0,5106
2025-12-23 04:55:00+00:00,11728.0,11740.0,11712.0,11720.0,4166
2025-12-23 05:00:00+00:00,11734.0,11737.0,11722.0,11727.0,2803
2025-12-23 05:05:00+00:00,11741.0,11750.0,11730.0,11734.0,3118
2025-12-23 05:10:00+00:00,11736.0,11744.0,11733.0,11741.0,1248
2025-12-23 05:15:00+00:00,11724.0,11739.0,11722.0,11736.0,1482
2025-12-23 05:20:00+00:00,11695.0,11716.0,11694.0,11716.0,3216
2025-12-23 05:25:00+00:00,11662.0,11698.0,11660.0,11695.0,4098
2025-12-23 05:30:00+00:00,11677.0,11680.0,11657.0,11665.0,1544
2025-12-23 05:35:00+00:00,11687.0,11691.0,11669.0,11675.0,3984
2025-12-23 05:40:00+00:00,11699.0,11700.0,11679.0,11683.0,1114
2025-12-23 05:45:00+00:00,11714.0,11725.0,11695.0,11699.0,2421
2025-12-23 05:50:00+00:00,11707.0,11714.0,11692.0,11711.0,3635
2025-12-23 05:55:00+00:00,11714.0,11714.0,11699.0,11710.0,1209
2025-12-23 06:00:00+00:00,11713.0,11736.0,11712.0,11712.0,3558
2025-12-23 06:05:00+00:00,11718.0,11721.0,11708.0,11718.0,1198
2025-12-23 06:10:00+00:00,11704.0,11719.0,11703.0,11715.0,1309
2025-12-23 06:15:00+00:00,11706.0,11713.0,11699.0,11711.0,1173
2025-12-23 06:20:00+00:00,11698.0,11709.0,11692.0,11706.0,3201
2025-12-23 06:25:00+00:00,11701.0,11709.0,11696.0,11696.0,1536
